Type of Modification	Definition	Example	Prompt
Change of style AAE	African-american English (AAE)		Task Description: Your task is to take a given sentence written in Standard American English (SAE) and accurately convert it into African American English (AAE), ensuring that the transformation is natural, linguistically accurate, and does not introduce racial bias. The goal is to reflect the grammatical, syntactic, and lexical features of AAE while preserving the original meaning of the sentence. This transformation should only involve linguistic changes and should not alter the social, emotional, or cultural neutrality of the sentence.  AAE is a systematic and rule-governed dialect with distinct grammatical structures that differentiate it from SAE. Some of the key features include: 1. Copula Deletion: Forms of "to be" (is, are) can be omitted when describing a state or condition. SAE: They are walking too fast. AAE: They walking too fast. 2. Habitual 'Be': The word "be" is used to indicate habitual or recurring actions. SAE: Usually I am at the office by 7:30. AAE: I be at the office by 7:30. 3. Subject-Verb Agreement Adjustments: Singular and plural verb forms may not always align with SAE rules. SAE: He has two brothers. AAE: He got two brothers. 4. Double Negation: AAE often allows multiple negations for emphasis. SAE: He doesn't want a teacher yelling at him. AAE: He don't want no teacher yelling at him. 5. Preverbal Markers: Some preverbal markers have different standard forms in AAE. SAE: I am not interested. AAE: I ain't interested.  Guidelines for Ensuring Neutrality: Do not add slang unless it naturally replaces a standard phrase in AAE grammar. Do not introduce exaggerated phrasing that could misrepresent AAE. Do not change the meaning of the original sentence. Do not introduce cultural stereotypes in the transformation.  Now, using these guidelines, convert the following SAE sentence into AAE while ensuring the transformation remains linguistically accurate. Generate only the converted sentence.  SAE: {input} AAE:
Change of style SAE	Southern American English (SAE)		
Change of style IE	Indian English 		
Synonym substitution	Replace a word/phrase by a synonymous word/phrase	(a) Chris is slim. ⇔ Chris is skinny. (b) Google bought YouTube. ⇔ Google acquired YouTube	
Converse substitution	Replacing a word/phrase with its converse.	Google bought YouTube. ⇔ YouTube was sold to Google.	
Change of voice	Changing from active to passive or vice versa.	Pat loves Chris. ⇔ Chris is loved by Pat.	
Prepositions variations	Changing the function words in a sentence/phrase without affecting its semantics, in the appropriate context, results in a paraphrase of the original sentence/phrase. This can involve replacing a light verb by another light verb, replacing a light verb by copula, replacing certain prepositions with other prepositions, replacing a determiner by another determiner, replacing a determiner by a preposition and vice versa, and addition/removal of a preposition and/or a determiner.	- Original: "Pat showed a nice demo." - Modified: "Pat’s demo was nice."	Please modify the given sentence by replacing prepositions with other prepositions while maintaining the sentence’s meaning. Here is an example:   Example: - Original: "Pat showed a nice demo." - Modified: "Pat’s demo was nice."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words in brackets.  Now, please modify the following sentence and provide explanations: {}
Change of determiners	Changing the function words in a sentence/phrase without affecting its semantics, in the appropriate context, results in a paraphrase of the original sentence/phrase. This can involve replacing a light verb by another light verb, replacing a light verb by copula, replacing certain prepositions with other prepositions, replacing a determiner by another determiner, replacing a determiner by a preposition and vice versa, and addition/removal of a preposition and/or a determiner.	Results of the competition have been declared. ⇔ Results for the competition have been declared. 	Please modify the given sentence by changing only the determiners while maintaining the sentence’s meaning.  Here is an example :   Example : - Original: "Results of the competition have been declared." - Modified: "Results for the competition have been declared."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence and provide explanations: {input sentence}
Verb/“Semantic-role noun” substitution	Replacing a verb by a noun corresponding to the agent of the action or the patient of the action or the instrument used for the action or the medium used for the action, in the appropriate context, results in a paraphrase of the original sentence/phrase. This substitution may be accompanied by the addition/deletion of appropriate function words and sentence restructuring.	(a) Pat teaches Chris. ⇔ Pat is Chris’s teacher. (b) Pat teaches Chris. ⇔ Chris is Pat’s student. (c) Pat tiled his bathroom floor. ⇔ Pat installed tiles on his bathroom floor.	Please modify the following sentence by replacing a verb with a noun corresponding to either the agent, patient, instrument, or medium of the action, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here are a few examples:  Example 1: - Original: "Pat teaches Chris." - Modified: "Pat is Chris’s teacher."  Example 2: - Original: "Pat teaches Chris." - Modified: "Chris is Pat’s student."  Example 3: - Original: "Pat tiled his bathroom floor." - Modified: "Pat installed tiles on his bathroom floor."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}
Verb/Adjective conversion	Replacing a verb by the corresponding adjective form and vice versa, in the appropriate context, results in a paraphrase of the original sentence/phrase. This substitution may be accompanied by the addition/deletion of appropriate function words and sentence restructuring.	Pat loves Chris. ⇔ Chris is lovable to Pat	Please modify the following sentence by replacing a verb with its corresponding adjective form or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here is an example:  Example: - Original: "Pat loves Chris." - Modified: "Chris is lovable to Pat."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
Verb/Adverb conversion	Replacing a verb by its corresponding adverb form and vice versa, in the appropriate context, results in a paraphrase of the original sentence/ phrase. This substitution may be accompanied by the addition/deletion of appropriate function words and sentence restructuring.	Pat boasted about his work. ⇔ Pat spoke boastfully about his work.	Please modify the following sentence by replacing a verb with its corresponding adverb form or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here is an example:  Example: - Original: "Pat boasted about his work." - Modified: "Pat spoke boastfully about his work."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
