modification	prompt
AAE	Please convert the following text written in Standard American English (SAE) into African American English (AAE). AAE is a systematic and rule-governed dialect with distinct grammatical structures that differentiate it from SAE. Some of the key features include: 1. Copula Deletion: Forms of "to be" (is, are) can be omitted when describing a state or condition. SAE: They are walking too fast. AAE: They walking too fast. 2. Habitual 'Be': The word "be" is used to indicate habitual or recurring actions. SAE: Usually I am at the office by 7:30. AAE: I be at the office by 7:30. 3. Subject-Verb Agreement Adjustments: Singular and plural verb forms may not always align with SAE rules. SAE: He has two brothers. AAE: He got two brothers. 4. Double Negation: AAE often allows multiple negations for emphasis. SAE: He doesn't want a teacher yelling at him. AAE: He don't want no teacher yelling at him. 5. Preverbal Markers: Some preverbal markers have different standard forms in AAE. SAE: I am not interested. AAE: I ain't interested.  Example: - SAE: "He doesn't want a teacher yelling at him." - AAE: "He don't want no teacher yelling at him."  Important instructions: - Convert only grammatical, syntactic, or lexical features specific to AAE. - Do not add slang unless it naturally fits within AAE grammar. - Do not change the meaning, tone, or intent of the original text. - Avoid introducing cultural stereotypes or bias. - The text must remain neutral and respectful. - The meaning of the text must remain unchanged. - If the text does not require any changes, return it unchanged. - Do not modify the words in brackets.  Now, convert the following SAE text into AAE and return only the converted text: SAE: {} AAE:
SAE	
IE	
synonym_substitution	Please modify the given sentence by replacing words with synonymous words while maintaining the sentence’s meaning. Example: - Original: "Chris is slim." - Modified: "Chris is skinny."  Important instructions: - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words in brackets.  Now, please modify the following sentence by strictly replacing words with synonymous words and return only the modified sentence and nothing else: {}
converse_substitution	
change_voice	
prepositions	Please modify the following sentence by replacing only its prepositions with alternative prepositions that preserve the original meaning.    Example:   - Original: "The book is on the table near the window.", - Modified: "The book is upon the table beside the window."  Important instructions:   - Replace only prepositions.  - Do not substitute any other words with synonyms.  - Do not rephrase or alter any part of the sentence beyond prepositions.  - The meaning of the sentence must remain unchanged.  - The resulting sentence should sound natural.  - If no prepositions can be changed without affecting the meaning, return the sentence unchanged.  - Do not modify the words in brackets.     Now modify the following sentence by replacing only its prepositions with alternatives that preserve the original meaning. Return up to 5 different versions of the sentence, each one on a single line prefixed with 'PARAPHRASE:'. Do not include any explanations, introductions, or follow-up text.  Original sentence: {}
determiners	Please modify the given sentence by changing only the determiners while maintaining the sentence’s meaning.  Here is an example :   Example : - Original: "Results of the competition have been declared." - Modified: "Results for the competition have been declared."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence and provide explanations: {input sentence}
verb_semantic_role_noun	Please modify the following sentence by replacing a verb with a noun corresponding to either the agent, patient, instrument, or medium of the action, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here are a few examples:  Example 1: - Original: "Pat teaches Chris." - Modified: "Pat is Chris’s teacher."  Example 2: - Original: "Pat teaches Chris." - Modified: "Chris is Pat’s student."  Example 3: - Original: "Pat tiled his bathroom floor." - Modified: "Pat installed tiles on his bathroom floor."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}
verb_adjective	Please modify the following text by replacing verbs with their corresponding adjective form or vice versa, while maintaining the text’s meaning.   Example: - Original: "Pat loves Chris." - Modified: "Chris is lovable to Pat."  Important Instructions:  - Replace only verbs and their adjective forms.  - Do not substitute any other words with synonyms.  - Do not rephrase or alter any part beyond verbs and their adjective forms.  - The meaning of the text must remain unchanged.  - The resulting text should sound natural.  - If no verbs can be changed without affecting the meaning, return the text unchanged.  - Do not modify the words in brackets.    Now, modify the following text by changing only the verbs and their adjective forms and return only the modified text: {}
verb_adverb	Please modify the following sentence by replacing a verb with its corresponding adverb form or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here is an example:  Example: - Original: "Pat boasted about his work." - Modified: "Pat spoke boastfully about his work."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
noun_adjective	Please modify the following sentence by replacing a noun with its corresponding adjective form or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here is an example:  Example: - Original: "I’ll fly by the end of June." - Modified: "I’ll fly late June."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
Metaphor substitution	Please modify the following sentence by replacing a part with its standard metaphorical use or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here are a few examples:   Example 1: - Original: "I had to drive through fog today." - Modified: "I had to drive through a wall of fog today."  Example 2: - Original: "Immigrants have used this network to send cash." - Modified: "Immigrants have used this network to send stashes of cash."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning beyond what is strictly necessary for the transformation. - If no standard metaphorical use exists for any noun in the sentence, leave the sentence unchanged. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
Light verb variations	Please modify the following sentence by changing only the function words while maintaining the sentence’s meaning. You may consider: - Replacing light verbs with other light verbs. - Replacing light verbs with a copula. - Replacing prepositions with other prepositions. - Changing determiners. - Adding or removing prepositions and determiners as needed.  Here are a few examples:   Example 1: - Original: "Results of the competition have been declared." - Modified: "Results for the competition have been declared."  Example 2: - Original: "Pat showed a nice demo." - Modified: "Pat’s demo was nice."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not function words. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence and provide explanations: {input sentence}
