modification	prompt
AAE	Task Description: Your task is to take a given sentence written in Standard American English (SAE) and accurately convert it into African American English (AAE), ensuring that the transformation is natural, linguistically accurate, and does not introduce racial bias. The goal is to reflect the grammatical, syntactic, and lexical features of AAE while preserving the original meaning of the sentence. This transformation should only involve linguistic changes and should not alter the social, emotional, or cultural neutrality of the sentence.  AAE is a systematic and rule-governed dialect with distinct grammatical structures that differentiate it from SAE. Some of the key features include: 1. Copula Deletion: Forms of "to be" (is, are) can be omitted when describing a state or condition. SAE: They are walking too fast. AAE: They walking too fast. 2. Habitual 'Be': The word "be" is used to indicate habitual or recurring actions. SAE: Usually I am at the office by 7:30. AAE: I be at the office by 7:30. 3. Subject-Verb Agreement Adjustments: Singular and plural verb forms may not always align with SAE rules. SAE: He has two brothers. AAE: He got two brothers. 4. Double Negation: AAE often allows multiple negations for emphasis. SAE: He doesn't want a teacher yelling at him. AAE: He don't want no teacher yelling at him. 5. Preverbal Markers: Some preverbal markers have different standard forms in AAE. SAE: I am not interested. AAE: I ain't interested.  Guidelines for Ensuring Neutrality: Do not add slang unless it naturally replaces a standard phrase in AAE grammar. Do not introduce exaggerated phrasing that could misrepresent AAE. Do not change the meaning of the original sentence. Do not introduce cultural stereotypes in the transformation.  Now, using these guidelines, convert the following SAE sentence into AAE while ensuring the transformation remains linguistically accurate. Generate only the converted sentence.  SAE: {input} AAE:
SAE	
IE	
synonym_substitution	
converse_substitution	
change_voice	
prepositions	Please modify the given sentence by replacing prepositions with other prepositions while maintaining the sentence’s meaning.   Example: - Original: "The book is on the table near the window." - Modified: "The book is upon the table beside the window."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words in brackets.  Now, please modify the following sentence by strictly modifying only the prepositions and provide explanations: {}
determiners	Please modify the given sentence by changing only the determiners while maintaining the sentence’s meaning.  Here is an example :   Example : - Original: "Results of the competition have been declared." - Modified: "Results for the competition have been declared."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence and provide explanations: {input sentence}
verb_semantic_role_noun	Please modify the following sentence by replacing a verb with a noun corresponding to either the agent, patient, instrument, or medium of the action, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here are a few examples:  Example 1: - Original: "Pat teaches Chris." - Modified: "Pat is Chris’s teacher."  Example 2: - Original: "Pat teaches Chris." - Modified: "Chris is Pat’s student."  Example 3: - Original: "Pat tiled his bathroom floor." - Modified: "Pat installed tiles on his bathroom floor."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}
verb_adjective	Please modify the following sentence by replacing a verb with its corresponding adjective form or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here is an example:  Example: - Original: "Pat loves Chris." - Modified: "Chris is lovable to Pat."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
verb_adverb	Please modify the following sentence by replacing a verb with its corresponding adverb form or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here is an example:  Example: - Original: "Pat boasted about his work." - Modified: "Pat spoke boastfully about his work."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
noun_adjective	Please modify the following sentence by replacing a noun with its corresponding adjective form or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here is an example:  Example: - Original: "I’ll fly by the end of June." - Modified: "I’ll fly late June."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
Metaphor substitution	Please modify the following sentence by replacing a part with its standard metaphorical use or vice versa, while maintaining the sentence’s meaning. This substitution may involve restructuring the sentence and adding or removing function words as needed. Here are a few examples:   Example 1: - Original: "I had to drive through fog today." - Modified: "I had to drive through a wall of fog today."  Example 2: - Original: "Immigrants have used this network to send cash." - Modified: "Immigrants have used this network to send stashes of cash."  Important Instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not necessary for the transformation. - Do not modify the meaning beyond what is strictly necessary for the transformation. - If no standard metaphorical use exists for any noun in the sentence, leave the sentence unchanged. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence: {input sentence}.
Light verb variations	Please modify the following sentence by changing only the function words while maintaining the sentence’s meaning. You may consider: - Replacing light verbs with other light verbs. - Replacing light verbs with a copula. - Replacing prepositions with other prepositions. - Changing determiners. - Adding or removing prepositions and determiners as needed.  Here are a few examples:   Example 1: - Original: "Results of the competition have been declared." - Modified: "Results for the competition have been declared."  Example 2: - Original: "Pat showed a nice demo." - Modified: "Pat’s demo was nice."  Important instructions: - Do not replace words with synonyms. - Do not change or rephrase any words that are not function words. - Do not modify the meaning in any way. - Do not modify the words {input sensitive words}.  Now, please modify the following sentence and provide explanations: {input sentence}
