model,Answer_Entropy,Log_Entropy,KL
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.6797852641822872,0.07608759324001299
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.34883209584303193,0.575515269528992,0.04997241061348312
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.2313867584147103,0.750769256155688
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.34883209584303193,0.7233037203833718,0.22949272739327872
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.7159983700972866,0.18449280722658018
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.6834865836869926,0.030456166119822405
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.2954362666546726,0.34295771873326963
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.8486855577264172,0.7369767324004806,0.0716032993798088
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.702598060087577,0.03336527555844521
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.7517509950637908,0.025086401269276193
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.5297061990576545,0.696279460541753,0.08257720920360587
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.10237589458600532,0.019478370285418357
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.34883209584303193,0.6777915870346755,0.0861775121973044
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.30849725703783953,0.09323663858618096
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6869615765973234,0.9522814077729309,0.3380346081180105
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,-0.0,0.4157064774839555,0.144873322836726
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6365141682948128,0.6916707846817427,0.012740619069434
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.34883209584303193,0.2084773642518155,0.026261667418824693
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.6365141682948128,0.596467870194671,0.011459688863724886
