model,ambig-acc,disambig-acc,consist,diff-bias_ambig,diff-bias_disambig
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,20.833333333333336,24.145299145299145,35.042735042735046,6.303418803418804,4.273504273504274
-network-weights-llama.var-llama_2-Llama-2-13b-hf,19.551282051282044,24.572649572649574,22.435897435897438,3.6324786324786325,5.128205128205129
-network-weights-llama.var-llama_2-Llama-2-7b-chat-hf,21.047008547008545,23.397435897435894,18.376068376068375,1.3888888888888888,4.487179487179486
-network-weights-llama.var-llama_2-Llama-2-7b-hf,20.833333333333332,23.183760683760685,9.615384615384615,1.3888888888888888,6.6239316239316235
facebook-opt-1.3b,22.756410256410263,22.32905982905983,11.324786324786324,0.5341880341880342,5.128205128205128
facebook-opt-13b,22.542735042735053,23.290598290598293,14.52991452991453,1.282051282051282,3.632478632478632
facebook-opt-2.7b,24.8931623931624,22.435897435897438,11.965811965811964,1.4957264957264957,4.914529914529914
facebook-opt-6.7b,21.047008547008552,23.717948717948715,6.837606837606838,2.02991452991453,6.196581196581198
mosaicml-mpt-7b,24.252136752136757,22.542735042735046,16.23931623931624,3.7393162393162394,4.700854700854702
mosaicml-mpt-7b-instruct,22.756410256410255,21.15384615384616,16.666666666666668,3.8461538461538463,3.8461538461538467
tiiuae-falcon-7b,20.619658119658112,24.252136752136753,13.461538461538456,2.4572649572649574,8.11965811965812
tiiuae-falcon-7b-instruct,23.82478632478633,22.435897435897438,14.957264957264954,1.1752136752136753,7.264957264957264
